timestamp,open,high,low,close,volume
2021-05-28,27.51000000,27.51000000,15.50000000,23.84000000,35808.86000000
2021-05-29,23.91000000,25.10000000,21.21000000,22.63000000,33701.43000000
2021-05-30,22.54000000,25.00000000,21.15000000,23.56000000,42349.43000000
2021-05-31,23.38000000,27.08000000,22.66000000,26.82000000,57077.00000000
2021-06-01,26.84000000,27.50000000,24.38000000,25.44000000,50564.89000000
2021-06-02,25.44000000,28.80000000,24.90000000,27.81000000,55324.99000000
2021-06-03,27.79000000,34.21000000,27.66000000,32.49000000,93331.75000000
2021-06-04,32.72000000,32.84000000,28.26000000,30.82000000,107382.32000000
2021-06-05,30.81000000,35.24000000,30.53000000,32.89000000,88660.73000000
2021-06-06,32.78000000,36.25000000,32.17000000,34.89000000,73231.48000000
2021-06-07,34.89000000,36.32000000,31.24000000,31.36000000,107359.33000000
2021-06-08,31.38000000,35.05000000,27.31000000,33.99000000,213636.45000000
2021-06-09,33.88000000,36.50000000,32.30000000,34.56000000,173845.71000000
2021-06-10,34.56000000,35.41000000,32.50000000,33.70000000,70158.76000000
2021-06-11,33.76000000,33.99000000,29.00000000,29.95000000,63087.49000000
2021-06-12,29.95000000,31.26000000,28.34000000,30.10000000,63876.12000000
2021-06-13,30.24000000,32.82000000,28.73000000,31.93000000,97576.89000000
2021-06-14,31.97000000,33.50000000,30.24000000,32.84000000,71275.85000000
2021-06-15,32.87000000,34.42000000,32.34000000,32.66000000,69290.00000000
2021-06-16,32.59000000,34.37000000,30.95000000,33.11000000,76033.28000000
2021-06-17,33.14000000,34.64000000,32.11000000,33.00000000,68225.08000000
2021-06-18,33.00000000,33.18000000,29.48000000,31.11000000,76075.84000000
2021-06-19,31.04000000,31.57000000,29.52000000,29.76000000,55387.36000000
2021-06-20,29.76000000,30.35000000,26.50000000,29.74000000,108147.13000000
2021-06-21,29.73000000,29.90000000,21.80000000,22.37000000,164714.37000000
2021-06-22,22.43000000,24.17000000,16.99000000,22.57000000,368812.10000000
2021-06-23,22.58000000,27.57000000,21.52000000,25.84000000,201429.14000000
2021-06-24,25.97000000,28.00000000,23.94000000,26.14000000,113645.52000000
2021-06-25,26.14000000,27.64000000,23.47000000,24.06000000,119612.18000000
2021-06-26,24.03000000,25.29000000,22.40000000,24.95000000,125810.17000000
2021-06-27,24.97000000,26.76000000,24.52000000,26.76000000,101532.42000000
2021-06-28,26.67000000,28.80000000,25.96000000,27.71000000,112730.49000000
2021-06-29,27.74000000,30.21000000,27.40000000,28.50000000,113737.86000000
2021-06-30,28.49000000,30.36000000,26.60000000,29.97000000,112406.72000000
2021-07-01,29.94000000,29.99000000,27.16000000,28.09000000,79674.02000000
2021-07-02,28.08000000,28.76000000,26.52000000,28.64000000,88431.77000000
2021-07-03,28.73000000,29.86000000,28.01000000,29.07000000,53383.18000000
2021-07-04,29.07000000,29.95000000,28.22000000,28.94000000,47060.98000000
2021-07-05,28.87000000,29.14000000,27.32000000,27.74000000,92899.17000000
2021-07-06,27.79000000,29.61000000,27.79000000,28.96000000,79337.02000000
2021-07-07,28.94000000,32.31000000,28.62000000,31.18000000,82429.50000000
2021-07-08,31.10000000,31.36000000,27.62000000,28.00000000,91323.31000000
2021-07-09,27.97000000,29.08000000,27.03000000,28.02000000,80515.27000000
2021-07-10,28.10000000,28.86000000,26.12000000,26.75000000,52057.96000000
2021-07-11,26.82000000,27.46000000,26.48000000,27.08000000,42721.27000000
2021-07-12,27.09000000,27.54000000,25.38000000,25.99000000,55133.97000000
2021-07-13,25.98000000,26.25000000,24.56000000,24.92000000,64367.65000000
2021-07-14,24.92000000,26.95000000,23.46000000,26.95000000,95688.52000000
2021-07-15,26.87000000,27.03000000,24.09000000,24.47000000,76930.26000000
2021-07-16,24.52000000,25.26000000,22.30000000,22.39000000,61090.01000000
2021-07-17,22.36000000,23.82000000,22.13000000,22.87000000,43308.93000000
2021-07-18,22.92000000,23.68000000,22.50000000,22.82000000,29319.56000000
2021-07-19,22.83000000,22.83000000,20.48000000,20.98000000,65172.83000000
2021-07-20,21.02000000,21.41000000,19.01000000,20.22000000,99323.84000000
2021-07-21,20.15000000,23.60000000,19.68000000,22.87000000,95642.48000000
2021-07-22,22.90000000,24.09000000,22.28000000,23.79000000,49028.62000000
2021-07-23,23.78000000,24.68000000,22.70000000,24.48000000,48163.29000000
2021-07-24,24.43000000,25.32000000,24.04000000,24.54000000,43403.59000000
2021-07-25,24.55000000,24.77000000,22.78000000,24.18000000,35430.24000000
2021-07-26,24.13000000,26.52000000,23.63000000,23.99000000,95912.08000000
2021-07-27,23.97000000,24.84000000,22.98000000,24.01000000,53400.40000000
2021-07-28,23.98000000,24.52000000,23.34000000,23.79000000,45586.13000000
2021-07-29,23.74000000,27.14000000,23.33000000,26.51000000,70370.67000000
2021-07-30,26.52000000,28.06000000,25.44000000,27.40000000,73435.58000000
2021-07-31,27.40000000,31.46000000,26.75000000,31.25000000,88997.21000000
2021-08-01,31.15000000,31.35000000,28.40000000,29.18000000,63211.04000000
2021-08-02,29.17000000,30.62000000,28.12000000,28.24000000,49356.17000000
2021-08-03,28.32000000,30.53000000,27.56000000,29.03000000,45848.15000000
2021-08-04,29.03000000,31.28000000,28.37000000,30.51000000,36496.31000000
2021-08-05,30.56000000,32.78000000,30.31000000,31.96000000,57616.69000000
2021-08-06,31.90000000,34.68000000,30.53000000,33.90000000,58915.74000000
2021-08-07,33.81000000,35.00000000,32.33000000,34.03000000,59082.35000000
2021-08-08,34.02000000,34.09000000,31.80000000,32.57000000,41601.68000000
